thread_id,customer_text,predicted_intent,intent_confidence,drafted_reply,grounded_on_threads,reply_method,routing_action,routing_reason
2922727,@AppleSupport how do I open PDF pages in keynote as a slideshow on my iPad Pro?,how_to_question,0.597,@677808 We can help out with the performance on your iPad and make sure we get this resolved. Which version of iOS 11 is currently on your iPad Pro?,2343618;1940340;1691786,retrieval_template,auto_handle,Intent confidence 0.60 is high and a similar past resolution was found -- safe to auto-handle.
1955638,@AppleSupport  https://t.co/NsKdthbXVW,other,0.964,"@727159 You've reached the right place for support. To start, can you tell us more about this screenshot? When did you start receiving this message? Also, which model of iPhone and iOS version are you using?",2562315;1442789;967778,retrieval_template,auto_handle,Intent confidence 0.96 is high and a similar past resolution was found -- safe to auto-handle.
1924836,"@AppleSupport Retina 5K, 27-inch, Mid 2015 High Sierra. Mail: Not syncing with gmail/g suite. Messages: Can't use Gooogle chat on it anymore... Would I need to use different app as a desktop client for google chat. If yes which one? Cheers",other,0.792,@156798 Check out this link for your options on using Face ID: https://t.co/5dZ9R889O9,2585631;1416939;1929206,retrieval_template,auto_handle,Intent confidence 0.79 is high and a similar past resolution was found -- safe to auto-handle.
1522629,Yo why is my iPhone doing this I?? @AppleSupport,other,0.78,@814289 We’re happy to look into this further with you. Let us know if the issue persists after you restart your iPhone following these steps: https://t.co/OWRDHWSt4h,2948392;1432462;1784522,retrieval_template,auto_handle,Intent confidence 0.78 is high and a similar past resolution was found -- safe to auto-handle.
1419633,@AppleSupport ??? https://t.co/4JSqmRaB8a,other,0.964,"@727159 You've reached the right place for support. To start, can you tell us more about this screenshot? When did you start receiving this message? Also, which model of iPhone and iOS version are you using?",2562315;1442789;967778,retrieval_template,auto_handle,Intent confidence 0.96 is high and a similar past resolution was found -- safe to auto-handle.
2062960,"@AppleSupport this new iPhone update sucks, I’m about it to back to my LG3. How can I go back to the old software? #iOS11",other,0.547,@213740 Are you having issues with your iPhone after updating? Let us know what they are in DM and we'll team up to get them resolved. https://t.co/GDrqU22YpT,413789;2271732;432351,retrieval_template,auto_handle,Intent confidence 0.55 is high and a similar past resolution was found -- safe to auto-handle.
2179482,"@AppleSupport Thanks for the reply, I do appreciate it, but what irks me is the fact that next reboot, it’s back to the same ‘default’ photo. Why cant we just leave things that work fine alone..?",other,0.692,@245341 We can completely understand. Let us know when you're ready and we'll work from there.,560452;257733;851218,retrieval_template,auto_handle,Intent confidence 0.69 is high and a similar past resolution was found -- safe to auto-handle.
1451549,"@AppleSupport Same thing on my imac. When i try to change game center accounts. Bring back the GC app, it worked! Most players have multiple accts. https://t.co/DeD5fdKhUE",other,0.858,"@496068 We're here for you. Send us a DM with your current iOS version, and we'll continue there. https://t.co/GDrqU22YpT",1617870;2293126;1458849,retrieval_template,auto_handle,Intent confidence 0.86 is high and a similar past resolution was found -- safe to auto-handle.
552181,"@AppleSupport wollte heute einen gekauften Song auf meinen Computer runterladen und kriege diese Meldungen, ich benutze meine AppleIDschon immer nur mit diesem PC und meinem iPhone, wie behebe ich das Problem? https://t.co/fRy75SGkSi",other,0.937,@812866 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,2942145;2680130;1877653,retrieval_template,auto_handle,Intent confidence 0.94 is high and a similar past resolution was found -- safe to auto-handle.
620176,"@AppleSupport it just closes unexpectedly, like i? hit the home button. but i? don’t hit the home button.",other,0.91,@568492 That's how to force restart an iPhone 6s or earlier. Always try a regular restart as a first step: https://t.co/OWRDHWSt4h,2468127;1048061;1735060,retrieval_template,auto_handle,Intent confidence 0.91 is high and a similar past resolution was found -- safe to auto-handle.
618513,"?????? ?????????? ?????? ?? ????? @115858 @AppleSupport New phishing emails began to come from your name, I think you should know about it. https://t.co/DzsrpCqdce",other,0.847,"@389959 Thanks for the heads up. Learn more about phishing, as well as how to report them here: https://t.co/LNMCdqt6fD",1147039;1005221;1510816,retrieval_template,auto_handle,Intent confidence 0.85 is high and a similar past resolution was found -- safe to auto-handle.
2034309,@524145 @AppleSupport Literally the worst update on the planet...my phone is a POS now??,other,0.643,@267484 This is certainly not the behavior we want you to experience. Could you DM us which iPhone and iOS 11 version you're using?,993303;941479;1896343,retrieval_template,auto_handle,Intent confidence 0.64 is high and a similar past resolution was found -- safe to auto-handle.
1301885,@AppleSupport oh sorry i forgot to put IPAD  thank you for getting back to me your support on here is amazing,other,0.543,"@172175 We're glad to hear it, let us know if you need anything else.",235839;1772155;2207556,retrieval_template,auto_handle,Intent confidence 0.54 is high and a similar past resolution was found -- safe to auto-handle.
633786,@115858 @AppleSupport is this legit? Looks very suspicious?? https://t.co/TrU1N0Gg2E,other,0.837,"@573989 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",1928846;1635744;1898267,retrieval_template,auto_handle,Intent confidence 0.84 is high and a similar past resolution was found -- safe to auto-handle.
1031463,@AppleSupport I can't play podcasts in itunes (on an iMac). Every time I try to switch to podcasts it freezes. Help!,other,0.371,"@424769 Let's help get you updated. In this scenario, check out these steps: https://t.co/Ui1yTnOCUz but keep us posted.",1304245;1877657;2082200,retrieval_template,escalate,Intent classifier confidence 0.37 below threshold 0.5 -- unclear what the customer needs.
